Type,Interactions,Allergies,Review,Use,Drug,Indication,AvoidUse,Sides,Condition
 otc,"Keep a list of all your  medications  with you, and share the list with your doctor and pharmacist.",CAPSICUM  MENTHOL CONTAIN PROD  SALICYLATES  NSAIDS (NON-STEROIDAL ANTI-INFLAMMATORY DRUG),Be the first to review it,Consult your pharmacist.,VitaCin topical, label,"Increased Cardiovascular Event Risk, Disease of the Heart and Blood Vessels, Thrombotic Thrombocytopenic Purpura, Presence of Polyps in the Nose, Condition in which Stomach Acid is Pushed Into the Esophagus, Stomach or Intestinal Ulcer, Burning Stomach, Liver Problems, Severe Liver Disease, Bleeding of the Stomach or Intestines, Kidney Disease, Burn, Pregnancy, thyrotoxicosis, Diabetes, Inadequate Vitamin K, Anemia from Pyruvate Kinase and G6PD Deficiencies, Water Retention, Anemia, Hemophilia, Decrease in the Blood-Clotting Protein Prothrombin, Blood Clotting Disorder",Consult your pharmacist.,Back pain
 rx,"To help your doctor and pharmacist give you the best care, be sure to tell your doctor and pharmacist about all the products you use (including prescription drugs, nonprescription drugs, and herbal products) before starting treatment with this product. While using this product, do not start, stop, or change the dosage of any other medicines you are using without your doctor's approval.",AMINOGLYCOSIDES,2  User Reviews        ,"This  medication  is used to treat minor  skin  infections (such as  impetigo ,  folliculitis ) or minor infections related to some skin conditions (such as  eczema ,  psoriasis , minor burns/cuts/wounds).  Gentamicin  works by stopping the growth of certain bacteria. It belongs to a class of drugs known as aminoglycoside  antibiotics .",gentamicin topical, label,Raw Skin,"Skin irritation, redness, and  itching  may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Boils (Furunculosis)
 rx,"Some products that may interact with this drug include: other drugs that may cause  kidney  problems (including nonsteroidal anti-inflammatory drugs- NSAIDs  such as  ibuprofen ,  naproxen ).",PENCICLOVIR ANALOGUES  ACYCLOVIR ANALOGUES,7  User Reviews        ,"This  medication  is used in certain people to treat outbreaks of  herpes simplex  infection of the  skin  (e.g., genitals), mucous membrane areas (e.g.,  mouth , nose), or  brain . It is also used in certain people to treat  shingles  infection. The viruses that cause these infections live in the body quietly until an outbreak occurs.  Acyclovir  does not cure these infections, but can speed healing of the sores, decrease pain/ itching /formation of new sores, and lower the risk of other problems from the virus (e.g., infection spreading to other parts of the body/organs, persistent pain after sores heal).",acyclovir sodium intravenous, label,"Kidney Disease, Extreme Loss of Body Water","Nausea ,  vomiting , or loss of appetite may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Chickenpox
 rx,"Some products that may interact with this drug include: other drugs that may cause kidney problems (including nonsteroidal anti-inflammatory drugs-NSAIDs such as ibuprofen, naproxen).",PENCICLOVIR ANALOGUES  ACYCLOVIR ANALOGUES,46  User Reviews        ,"Acyclovir  is used to treat infections caused by certain types of viruses. It treats  cold sores  around the  mouth  (caused by  herpes simplex ),  shingles  (caused by  herpes zoster ), and chickenpox.",Zovirax oral, label,"Kidney Disease, Extreme Loss of Body Water","Nausea ,  diarrhea ,  headache , or  vomiting  may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Chickenpox
 rx,"Some products that may interact with this drug include: other drugs that may cause kidney problems (including nonsteroidal anti-inflammatory drugs-NSAIDs such as ibuprofen, naproxen).",PENCICLOVIR ANALOGUES  ACYCLOVIR ANALOGUES,116  User Reviews        ,"Valacyclovir  is used to treat infections caused by certain types of viruses. In children, it is used to treat  cold sores  around the  mouth  (caused by  herpes simplex ) and chickenpox (caused by varicella  zoster ). In adults, it is used to treat  shingles  (caused by  herpes zoster ) and  cold sores  around the  mouth .",valacyclovir oral, label,"Thrombotic Thrombocytopenic Purpura, Extreme Loss of Body Water, Syndrome characterized by Anemia and Renal Failure, Moderate to Severe Kidney Impairment","Nausea ,  stomach pain ,  headache , or  dizziness  may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Chickenpox
 rx,"Some products that may interact with this drug include: other drugs that may cause kidney problems (including nonsteroidal anti-inflammatory drugs-NSAIDs such as ibuprofen, naproxen).",PENCICLOVIR ANALOGUES  ACYCLOVIR ANALOGUES,326  User Reviews        ,"Valacyclovir  is used to treat infections caused by certain types of viruses. In children, it is used to treat  cold sores  around the  mouth  (caused by  herpes simplex ) and chickenpox (caused by varicella  zoster ). In adults, it is used to treat  shingles  (caused by  herpes zoster ) and  cold sores  around the  mouth .",Valtrex oral, label,"Thrombotic Thrombocytopenic Purpura, Extreme Loss of Body Water, Syndrome characterized by Anemia and Renal Failure, Moderate to Severe Kidney Impairment","Nausea ,  stomach pain ,  headache , or  dizziness  may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Chickenpox
 rx,"Some products that may interact with this drug include: other drugs that may cause kidney problems (including nonsteroidal anti-inflammatory drugs-NSAIDs such as ibuprofen, naproxen).",PENCICLOVIR ANALOGUES  ACYCLOVIR ANALOGUES,330  User Reviews        ,"Acyclovir  is used to treat infections caused by certain types of viruses. It treats  cold sores  around the  mouth  (caused by  herpes simplex ),  shingles  (caused by  herpes zoster ), and chickenpox.",acyclovir oral, label,"Kidney Disease, Extreme Loss of Body Water","Nausea ,  diarrhea ,  headache , or  vomiting  may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Chickenpox
 otc,"Keep a list of all your  medications  with you, and share the list with your doctor and pharmacist.",MENTHOL CONTAIN PROD,Be the first to review it,Consult your pharmacist.,Icy Hot Patch topical, label,Burn,Consult your pharmacist.,Back pain
 rx,A product that may interact with this drug is: warfarin.,PYRIMIDINE ANALOGUES,Be the first to review it,Fluorouracil  is used to treat various types of  cancer . It is a  chemotherapy  drug that is used alone or in combination with other  medications  to slow or stop  cancer  cell growth.,Adrucil intravenous, label,"Dihydropyrimidine Dehydrogenase Deficiency, Spread of Malignant Cancer to the Bone Marrow, Angina, Hemorrhage, Throat Irritation, Painful, Red or Swollen Mouth, Stomach or Intestinal Ulcer, Liver Problems, Bleeding of the Stomach or Intestines, Kidney Disease, Tingling, Pain, Redness and Edema of Hands and Feet, Severe Vomiting, Diarrhea, Pregnancy, A Mother who is Producing Milk and Breastfeeding, severe infection, Poor Nutrition, Decreased Function of Bone Marrow, Decreased Blood Platelets, Severely Decreased Platelets, Decreased White Blood Cells, Decreased Neutrophils a Type of White Blood Cell","Nausea, vomiting, loss of appetite, dry/ itchy skin ,  skin  darkening, and sun sensitivity/ sunburn  may occur.  Nausea and vomiting  can be severe. In some cases, drug therapy may be necessary to prevent or relieve  nausea and vomiting . Not eating before your treatment may help relieve vomiting. Changes in diet such as eating several small meals or limiting activity may help lessen some of these effects. If any of these effects persist or worsen, notify your doctor or pharmacist promptly.",Colon Cancer (Colorectal Cancer)
 rx,"Drug interactions may change how your medications work or increase your risk for serious side effects. This document does not contain all possible drug interactions. Keep a list of all the products you use (such as prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",PYRIMIDINE ANALOGUES,8  User Reviews        ,"Capecitabine is used to treat  breast ,  colon , or  rectal cancer . It works by slowing or stopping the growth of  cancer  cells.",capecitabine oral, label,"Dihydropyrimidine Dehydrogenase Deficiency, Disease of the Arteries of the Heart, Abnormal Heart Rhythm, Painful, Red or Swollen Mouth, Inflamed Colon and Small Intestine with Some Tissue Death, Liver Problems, Severe Renal Impairment, Mild to Moderate Kidney Impairment, High Amount of Bilirubin in the Blood, Tingling, Pain, Redness and Edema of Hands and Feet, Severe Diarrhea, Pregnancy, A Mother who is Producing Milk and Breastfeeding, infection, Very Serious Loss of Body Water, Anemia, Decreased Blood Platelets, Decreased Neutrophils a Type of White Blood Cell","Nausea, vomiting, loss of appetite,  constipation , tiredness,  weakness ,  headache ,  dizziness ,  trouble sleeping , or changes in taste may occur.  Nausea and vomiting  can be severe. In some cases, your doctor may prescribe medication to prevent or relieve  nausea and vomiting . Eating several small meals, not eating before treatment, or limiting activity may help lessen some of these effects. If any of these effects last or get worse, tell your doctor or pharmacist promptly.",Colon Cancer (Colorectal Cancer)
 rx,A product that may interact with this drug is: warfarin.,PYRIMIDINE ANALOGUES,5  User Reviews        ,Fluorouracil  is used to treat various types of  cancer . It is a  chemotherapy  drug that is used alone or in combination with other  medications  to slow or stop  cancer  cell growth.,fluorouracil intravenous, label,"Dihydropyrimidine Dehydrogenase Deficiency, Spread of Malignant Cancer to the Bone Marrow, Angina, Hemorrhage, Throat Irritation, Painful, Red or Swollen Mouth, Stomach or Intestinal Ulcer, Liver Problems, Bleeding of the Stomach or Intestines, Kidney Disease, Tingling, Pain, Redness and Edema of Hands and Feet, Severe Vomiting, Diarrhea, Pregnancy, A Mother who is Producing Milk and Breastfeeding, severe infection, Poor Nutrition, Decreased Function of Bone Marrow, Decreased Blood Platelets, Severely Decreased Platelets, Decreased White Blood Cells, Decreased Neutrophils a Type of White Blood Cell","Nausea, vomiting, loss of appetite, dry/ itchy skin ,  skin  darkening, and sun sensitivity/ sunburn  may occur.  Nausea and vomiting  can be severe. In some cases, drug therapy may be necessary to prevent or relieve  nausea and vomiting . Not eating before your treatment may help relieve vomiting. Changes in diet such as eating several small meals or limiting activity may help lessen some of these effects. If any of these effects persist or worsen, notify your doctor or pharmacist promptly.",Colon Cancer (Colorectal Cancer)
 rx,"Some products that may interact with this drug include: aminoglycosides (e.g., gentamicin, amikacin), amphotericin B, nalidixic acid, nonsteroidal anti-inflammatory drugs (e.g., ibuprofen), tacrolimus.",PLATINUM COMPLEXES,28  User Reviews        ,This medication is used to treat advanced  cancer  of the  colon  and rectum. Oxaliplatin is a  chemotherapy  drug that contains platinum. It is used in combination with other  medications  to slow or stop  cancer  cell growth.,oxaliplatin intravenous, label,"Numbness, Tingling or Pain of Hands or Feet, Brain-Capillary Leak Syndrome, Abnormal EKG with QT changes from Birth, Interstitial Pneumonitis, Lung Fibrosis, Liver Problems, Severe Renal Impairment, Abnormal Liver Function Tests, Pregnancy, A Mother who is Producing Milk and Breastfeeding, Low Amount of Magnesium in the Blood, Low Amount of Potassium in the Blood, Anemia, Decreased Blood Platelets, Decreased Neutrophils a Type of White Blood Cell, Muscle Pain or Tenderness with Increase Creatine Kinase","Diarrhea , changes in taste,  mouth  sores,  nosebleeds , tiredness,  headache , dizziness, or  trouble sleeping  may occur.  Nausea and vomiting  may be severe in some patients. Your doctor may prescribe medication to prevent or relieve  nausea and vomiting . Eating several small meals, not eating before treatment, or limiting activity may help lessen some of these effects. If any of these effects persist or worsen, notify your doctor or pharmacist promptly.",Colon Cancer (Colorectal Cancer)
 rx,"Drug interactions may change how your medications work or increase your risk for serious side effects. This document does not contain all possible drug interactions. Keep a list of all the products you use (such as prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",PYRIMIDINE ANALOGUES,147  User Reviews        ,"Capecitabine is used to treat  breast ,  colon , or  rectal cancer . It works by slowing or stopping the growth of  cancer  cells.",Xeloda oral, label,"Dihydropyrimidine Dehydrogenase Deficiency, Disease of the Arteries of the Heart, Abnormal Heart Rhythm, Painful, Red or Swollen Mouth, Inflamed Colon and Small Intestine with Some Tissue Death, Liver Problems, Severe Renal Impairment, Mild to Moderate Kidney Impairment, High Amount of Bilirubin in the Blood, Tingling, Pain, Redness and Edema of Hands and Feet, Severe Diarrhea, Pregnancy, A Mother who is Producing Milk and Breastfeeding, infection, Very Serious Loss of Body Water, Anemia, Decreased Blood Platelets, Decreased Neutrophils a Type of White Blood Cell","Nausea, vomiting, loss of appetite,  constipation , tiredness,  weakness ,  headache ,  dizziness ,  trouble sleeping , or changes in taste may occur.  Nausea and vomiting  can be severe. In some cases, your doctor may prescribe medication to prevent or relieve  nausea and vomiting . Eating several small meals, not eating before treatment, or limiting activity may help lessen some of these effects. If any of these effects last or get worse, tell your doctor or pharmacist promptly.",Colon Cancer (Colorectal Cancer)
 rx,"Some products that may interact with this drug include: other drugs that can cause bleeding/bruising (including antiplatelet drugs such as clopidogrel, NSAIDs such as ibuprofen/naproxen, ""blood thinners"" such as dabigatran/warfarin).",VENLAFAXINE ANALOGUES,Be the first to review it,"Desvenlafaxine  is used to treat  depression . It may improve your mood, feelings of well-being, and energy level. Desvenlafaxine is known as a serotonin-norepinephrine reuptake inhibitor (SNRI). It works by helping to restore the balance of certain natural substances (serotonin and norepinephrine) in the  brain .",desvenlafaxine fumarate oral, label,"Neuroleptic Malignant Syndrome, Serotonin Syndrome - Adverse Drug Interaction, closed angle glaucoma, Lung Tissue Problems, Narrow Iridocorneal Angle, High Blood Pressure, Recent Heart Attack, Disease of the Heart and Blood Vessels, Any Disorder of the Blood Vessels of the Brain, Hemorrhage, Liver Problems, Seizures, Syndrome of Inappropriate Antidiuretic Hormone Secretion, High Cholesterol, High Amount of Triglyceride in the Blood, Low Amount of Sodium in the Blood, Moderate to Severe Kidney Impairment, Blood Clotting Disorder, Increased Risk of Bleeding, Behaving with Excessive Cheerfulness and Activity, Mild Degree of Mania, Manic-Depression, Having Thoughts of Suicide",See also Warning section.,Depression
 rx,"Some products that may interact with this drug include: other drugs that can cause bleeding/bruising (including antiplatelet drugs such as clopidogrel, NSAIDs such as ibuprofen, ""blood thinners"" such as warfarin).",DULOXETINE,1  User Reviews        ,"Duloxetine  is used to treat  depression  and  anxiety . In addition, duloxetine is used to help relieve  nerve pain  ( peripheral neuropathy ) in people with  diabetes  or ongoing pain due to medical conditions such as  arthritis , chronic  back pain , or  fibromyalgia  (a condition that causes widespread pain).",Irenka oral, label,"Serotonin Syndrome - Adverse Drug Interaction, Yellowing of Skin or Eyes from Liver Problems, Epileptic Seizure, closed angle glaucoma, Decreased Motility Function of Stomach or Intestines, Narrow Iridocorneal Angle, High Blood Pressure, Blood Pressure Drop Upon Standing, Hardening of the Liver caused by Alcohol, Chronic Inflammation of the Liver, Hardening of the Liver, Hepatitis, Liver Problems, Severe Renal Impairment, Cannot Empty Bladder, High Blood Sugar, Abnormal Liver Function Tests, Syndrome of Inappropriate Antidiuretic Hormone Secretion, Low Amount of Sodium in the Blood, Increased Risk of Bleeding, Behaving with Excessive Cheerfulness and Activity, Mild Degree of Mania, Manic-Depression, Having Thoughts of Suicide, Habit of Drinking Too Much Alcohol",See also Warning section.,Depression
 otc,"Some products that may interact with this drug include:  antihistamines  applied to the  skin  (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,Be the first to review it,"Dimenhydrinate  is an  antihistamine  used to prevent and treat  nausea ,  vomiting , and  dizziness  caused by motion sickness.",Motion Sickness Relief oral, offlabel,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness,  constipation , blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Dizziness (Meniere's Disease)
 rx,"Some products that may interact with this drug include: macrolide antibiotics (e.g., clarithromycin, erythromycin), live bacterial vaccines.",LINCOSAMIDES,Be the first to review it,This medication is used to treat a wide variety of  bacterial infections . It works by stopping the growth of bacteria.,Clin Single Use injection, offlabel,"Myasthenia Gravis, Crohn's Disease, Ulcerated Colon, Severe Liver Disease, Red Blood in Bowel Movement, Severe Renal Impairment, Clostridium difficile colitis, Atopic Dermatitis, Diarrhea",See also Warning section.,Diverticulitis
 rx,One product that may interact with this drug is:  methotrexate .,"(DO NOT USE, NOT SCREENED) DEXTROSE  PENICILLINS   BETALACTAMS",Be the first to review it,Piperacillin /tazobactam is used to treat a wide variety of  bacterial infections . It is a  penicillin  antibiotic. It works by stopping the growth of bacteria.,piperacillin-tazobactam-dextrose (iso) intravenous, offlabel,"Kidney Disease, Clostridium difficile colitis, Low Amount of Potassium in the Blood, Severely Decreased Levels of Neutrophils in the Blood, Blood Clotting Disorder","Nausea ,  constipation ,  diarrhea ,  headache , or  trouble sleeping  may occur. If any of these effects last or get worse, tell your doctor or pharmacist promptly.",Diverticulitis
 rx,"Some products that may interact with this drug include: aldesleukin, mifepristone, drugs that can cause bleeding/bruising (including antiplatelet drugs such as clopidogrel, ""blood thinners"" such as dabigatran/warfarin, NSAIDs such as aspirin/celecoxib/ibuprofen).",CORTICOSTEROIDS (GLUCOCORTICOIDS),4  User Reviews        ,"Prednisone  is used to treat conditions such as  arthritis ,  blood disorders ,  breathing problems , severe  allergies ,  skin  diseases,  cancer ,  eye problems , and  immune system disorders . Prednisone belongs to a class of drugs known as corticosteroids. It changes how your body responds to different medical conditions to lessen symptoms such as swelling and allergic-type reactions.",Rayos oral, label,"Muscle Problems, Increased Pressure in the Eye, Wide-Angle Glaucoma, Cataracts, Broken Bone due to Disease or Illness, Avascular Necrosis of Bone, Malaria Affecting the Brain, Muscle Wasting, Hyperammonemia associated with N-acetylglutamate synthase deficiency, Untreated Systemic Fungal Infection, High Blood Pressure, Chronic Heart Failure, Herpes Simplex Infection of the Eye, herpes simplex infection, Ulcer from Stomach Acid, Burning Stomach, Diverticulitis, Surgical Joining of Two Parts of the Intestine, Hardening of the Liver, Rupture of a Tendon, Osteoporosis, Decreased Calcification or Density of Bone, Seizures, Visible Water Retention, High Blood Sugar, intestinal infection caused by the roundworm Strongyloides, Active, Untreated Tuberculosis, inactive tuberculosis, hypothyroidism, Inherited Deficiency of Arginosuccinate Lyase, Inherited Deficiency of Carbamyl Phosphate Synthetase, Citrullinemia, Diabetes, Insufficiency of the Hypothalamus and Pituitary Gland, Infection caused by the Varicella Zoster Virus, Measles, Ornithine Carbamoyltransferase Deficiency, Arginase Deficiency, High Cholesterol, Low Amount of Potassium in the Blood, Reduction in the Body's Resistance to Infection, Exposure to the Measles, Exposure to the Chickenpox, Mental Disorder with Loss of Normal Personality & Reality, Muscle Pain or Tenderness with Increase Creatine Kinase","Nausea,  vomiting ,  heartburn , increased appetite,  weight  gain, or  acne  may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Eczema (Atopic Dermatitis)
