Type,Interactions,Allergies,Review,Use,Drug,Indication,AvoidUse,Sides,Condition
 otc,"Keep a list of all your   with you, and share the list with your doctor and pharmacist.",SALICYLATES  NSAIDS (NON-STEROIDAL ANTI-INFLAMMATORY DRUG)   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES,Be the first to review it,Consult your pharmacist.,Advil Congestion Relief oral, label,"Tobacco Smoking, Increased Cardiovascular Event Risk, Time Immediately after Coronary Bypass Surgery, Acute Thromboembolic Stroke, High Blood Pressure, Severe Uncontrolled High Blood Pressure, Heart Attack, Disease of the Arteries of the Heart, Partial Heart Block, Rapid Ventricular Heartbeat, Slow Heartbeat, Chronic Heart Failure, Stroke, Severe Hardening of the Arteries, Blood Clot in an Artery, Blood Clot, Stomach or Intestinal Ulcer, Active Inflammation of the Liver, Liver Problems, Acute Inflammation of the Pancreas, Bleeding of the Stomach or Intestines, Kidney Disease, Enlarged Prostate, Decreased Oxygen In The Tissues Or Blood, Pregnancy, systemic mastocytosis, overactive thyroid gland, Acidosis, A Rupture in the Wall of the Stomach or Intestine, Blood Clotting Disorder, Increased Risk of Bleeding, Habit of Drinking Too Much Alcohol",Consult your pharmacist.,Runny Nose
 otc,"Drug interactions may change how your medications work or increase your risk for serious side effects. This document does not contain all possible drug interactions. Keep a list of all the products you use (including prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",ACETAMINOPHEN   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES,Be the first to review it,"This combination medication is used to temporarily treat symptoms caused by the  common cold ,  flu ,  allergies , or other breathing illnesses (such as  sinusitis ,  bronchitis ).  Decongestants  help relieve stuffy nose,  sinus , and ear congestion symptoms. Acetaminophen (APAP) is a non- aspirin  pain reliever and fever reducer.",Vicks QlearQuil Daytime Sinus and Congestion oral, label,"High Blood Pressure, Severe Uncontrolled High Blood Pressure, Heart Attack, Disease of the Arteries of the Heart, Partial Heart Block, Rapid Ventricular Heartbeat, Slow Heartbeat, Chronic Heart Failure, Severe Hardening of the Arteries, Blood Clot in an Artery, Acute Liver Failure, Active Inflammation of the Liver, Liver Problems, Acute Inflammation of the Pancreas, Severe Renal Impairment, Enlarged Prostate, Shock, Decreased Oxygen In The Tissues Or Blood, Overdose of the Drug Acetaminophen, Acute Inflammation of the Liver due to Hepatitis C Virus, overactive thyroid gland, Poor Nutrition, Acidosis",See also Warning section.,Runny Nose
 otc,"If you are taking this product under your doctor's direction, your doctor or pharmacist may already be aware of any possible drug interactions and may be monitoring you for them. Do not start, stop, or change the dosage of any medicine before checking with your doctor or pharmacist first.",ACETAMINOPHEN   DEXTROMETHORPHAN ANALOGU   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES,Be the first to review it,"This combination medication is used to temporarily treat  cough , stuffy nose, body aches, and other symptoms (e.g., fever,  headache ,  sore throat ) caused by the  common cold ,  flu , or other breathing illnesses (e.g.,  sinusitis ,  bronchitis ).  Dextromethorphan  is a  cough suppressant  that affects a certain part of the  brain  ( cough  center), reducing the urge to cough.  Decongestants  help to relieve stuffy nose symptoms. This product also contains acetaminophen, a non- aspirin  pain reliever and fever reducer.",Daytime Cold and Flu Relief (phenylephrine) oral, label,"High Blood Pressure, Severe Uncontrolled High Blood Pressure, Heart Attack, Disease of the Arteries of the Heart, Partial Heart Block, Rapid Ventricular Heartbeat, Slow Heartbeat, Chronic Heart Failure, Severe Hardening of the Arteries, Blood Clot in an Artery, Acute Liver Failure, Active Inflammation of the Liver, Liver Problems, Acute Inflammation of the Pancreas, Severe Renal Impairment, Enlarged Prostate, Shock, Decreased Oxygen In The Tissues Or Blood, Overdose of the Drug Acetaminophen, Acute Inflammation of the Liver due to Hepatitis C Virus, systemic mastocytosis, overactive thyroid gland, Poor Nutrition, Acidosis",See also Warning section.,Runny Nose
 otc,"If your doctor has directed you to use this medication, your doctor or pharmacist may already be aware of any possible drug interactions and may be monitoring you for them. Do not start, stop, or change the dosage of any medicine before checking with your doctor or pharmacist first.",ACETAMINOPHEN   DEXTROMETHORPHAN ANALOGU  GUAIFENESIN   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES,Be the first to review it,"This combination medication is used to temporarily treat  cough , chest congestion, fever, body aches, and stuffy nose symptoms caused by the  common cold ,  flu , or other breathing illnesses (e.g.,  sinusitis ,  bronchitis ).  Guaifenesin  is an expectorant that helps to thin and loosen mucus in the  lungs , making it easier to  cough  up the mucus.  Dextromethorphan  is a  cough suppressant  that affects a certain part of the  brain  (cough center), reducing the urge to cough.  Decongestants  help to relieve stuffy nose symptoms. This product also contains acetaminophen (APAP), a non- aspirin  pain reliever and fever reducer.",Fast Mucus Relief Severe Cold oral, label,"High Blood Pressure, Severe Uncontrolled High Blood Pressure, Heart Attack, Disease of the Arteries of the Heart, Partial Heart Block, Rapid Ventricular Heartbeat, Slow Heartbeat, Chronic Heart Failure, Severe Hardening of the Arteries, Blood Clot in an Artery, Acute Liver Failure, Active Inflammation of the Liver, Liver Problems, Acute Inflammation of the Pancreas, Severe Renal Impairment, Enlarged Prostate, Shock, Decreased Oxygen In The Tissues Or Blood, Overdose of the Drug Acetaminophen, Acute Inflammation of the Liver due to Hepatitis C Virus, systemic mastocytosis, overactive thyroid gland, Poor Nutrition, Acidosis",See also Warning section.,Runny Nose
 otc,"Keep a list of all your   with you, and share the list with your doctor and pharmacist.",ACETAMINOPHEN   DEXTROMETHORPHAN ANALOGU   ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE  GUAIFENESIN   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES,Be the first to review it,Consult your pharmacist.,Daytime-Cold Nighttime-Cold-Flu oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Severe Uncontrolled High Blood Pressure, Heart Attack, Disease of the Arteries of the Heart, Partial Heart Block, Rapid Ventricular Heartbeat, Slow Heartbeat, Chronic Heart Failure, Severe Hardening of the Arteries, Blood Clot in an Artery, Stenosing Peptic Ulcer, Acute Liver Failure, Active Inflammation of the Liver, Liver Problems, Acute Inflammation of the Pancreas, Severe Renal Impairment, Blockage of Urinary Bladder, Enlarged Prostate, Shock, Cannot Empty Bladder, Decreased Oxygen In The Tissues Or Blood, Overdose of the Drug Acetaminophen, Acute Inflammation of the Liver due to Hepatitis C Virus, systemic mastocytosis, overactive thyroid gland, Poor Nutrition, Acidosis",Consult your pharmacist.,Runny Nose
 otc,"Keep a list of all your   with you, and share the list with your doctor and pharmacist.",ACETAMINOPHEN   ANTIHISTAMINES  ANTIHISTAMINES - ALKYLAMINE   DEXTROMETHORPHAN ANALOGU  GUAIFENESIN   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES,Be the first to review it,Consult your pharmacist.,Tylenol Cold-Flu Severe Day-Nt oral, label,"Chronic Obstructive Lung Disease, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Severe Uncontrolled High Blood Pressure, Heart Attack, Disease of the Arteries of the Heart, Partial Heart Block, Rapid Ventricular Heartbeat, Slow Heartbeat, Chronic Heart Failure, Severe Hardening of the Arteries, Blood Clot in an Artery, Stenosing Peptic Ulcer, Stomach or Intestine Blockage, Acute Liver Failure, Active Inflammation of the Liver, Liver Problems, Acute Inflammation of the Pancreas, Severe Renal Impairment, Blockage of Urinary Bladder, Enlarged Prostate, Shock, Cannot Empty Bladder, Decreased Oxygen In The Tissues Or Blood, Overdose of the Drug Acetaminophen, Acute Inflammation of the Liver due to Hepatitis C Virus, systemic mastocytosis, overactive thyroid gland, Poor Nutrition, Acidosis",Consult your pharmacist.,Runny Nose
 otc,"Drug interactions may change how your medications work or increase your risk for serious side effects. This document does not contain all possible drug interactions. Keep a list of all the products you use (including prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",ACETAMINOPHEN   ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES,1  User Reviews        ,"This combination medication is used to temporarily treat symptoms caused by the  common cold ,  flu ,  allergies , or other breathing illnesses (such as  sinusitis ,  bronchitis ).  Decongestants  help relieve stuffy nose,  sinus , and ear congestion symptoms. Acetaminophen (APAP) is a non- aspirin  pain reliever and fever reducer.  Antihistamines  help relieve watery  eyes , itchy  eyes /nose/throat,  runny nose , and  sneezing .",Flu Relief Therapy Nighttime oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Severe Uncontrolled High Blood Pressure, Heart Attack, Disease of the Arteries of the Heart, Partial Heart Block, Rapid Ventricular Heartbeat, Slow Heartbeat, Chronic Heart Failure, Severe Hardening of the Arteries, Blood Clot in an Artery, Stenosing Peptic Ulcer, Acute Liver Failure, Active Inflammation of the Liver, Liver Problems, Acute Inflammation of the Pancreas, Severe Renal Impairment, Blockage of Urinary Bladder, Enlarged Prostate, Shock, Cannot Empty Bladder, Decreased Oxygen In The Tissues Or Blood, Overdose of the Drug Acetaminophen, Acute Inflammation of the Liver due to Hepatitis C Virus, overactive thyroid gland, Poor Nutrition, Acidosis",See also Warning section.,Symptom in the Eye Associated with Allergic Rhinitis
 otc,"Keep a list of all your   with you, and share the list with your doctor and pharmacist.",ACETAMINOPHEN   ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE  GUAIFENESIN   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES,Be the first to review it,Consult your pharmacist.,Sinus Relief Maximum Strength Day-Night oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Severe Uncontrolled High Blood Pressure, Heart Attack, Disease of the Arteries of the Heart, Partial Heart Block, Rapid Ventricular Heartbeat, Slow Heartbeat, Chronic Heart Failure, Severe Hardening of the Arteries, Blood Clot in an Artery, Stenosing Peptic Ulcer, Acute Liver Failure, Active Inflammation of the Liver, Liver Problems, Acute Inflammation of the Pancreas, Severe Renal Impairment, Blockage of Urinary Bladder, Enlarged Prostate, Shock, Cannot Empty Bladder, Decreased Oxygen In The Tissues Or Blood, Overdose of the Drug Acetaminophen, Acute Inflammation of the Liver due to Hepatitis C Virus, overactive thyroid gland, Poor Nutrition, Acidosis",Consult your pharmacist.,Runny Nose
 otc,"If your doctor has directed you to use this medication, your doctor or pharmacist may already be aware of any possible drug interactions and may be monitoring you for them. Do not start, stop, or change the dosage of any medicine before checking with your doctor or pharmacist first.",ACETAMINOPHEN   DEXTROMETHORPHAN ANALOGU  GUAIFENESIN   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES,Be the first to review it,"This combination medication is used to temporarily treat  cough , chest congestion, fever, body aches, and stuffy nose symptoms caused by the  common cold ,  flu , or other breathing illnesses (e.g.,  sinusitis ,  bronchitis ).  Guaifenesin  is an expectorant that helps to thin and loosen mucus in the  lungs , making it easier to  cough  up the mucus.  Dextromethorphan  is a  cough suppressant  that affects a certain part of the  brain  (cough center), reducing the urge to cough.  Decongestants  help to relieve stuffy nose symptoms. This product also contains acetaminophen (APAP), a non- aspirin  pain reliever and fever reducer.",Rompe Pecho Max Multi Symptoms oral, label,"High Blood Pressure, Severe Uncontrolled High Blood Pressure, Heart Attack, Disease of the Arteries of the Heart, Partial Heart Block, Rapid Ventricular Heartbeat, Slow Heartbeat, Chronic Heart Failure, Severe Hardening of the Arteries, Blood Clot in an Artery, Acute Liver Failure, Active Inflammation of the Liver, Liver Problems, Acute Inflammation of the Pancreas, Severe Renal Impairment, Enlarged Prostate, Shock, Decreased Oxygen In The Tissues Or Blood, Overdose of the Drug Acetaminophen, Acute Inflammation of the Liver due to Hepatitis C Virus, systemic mastocytosis, overactive thyroid gland, Poor Nutrition, Acidosis",See also Warning section.,Runny Nose
 otc,"If your doctor has directed you to use this medication, your doctor or pharmacist may already be aware of any possible drug interactions and may be monitoring you for them. Do not start, stop, or change the dosage of any medicine before checking with your doctor or pharmacist first.",ACETAMINOPHEN   DEXTROMETHORPHAN ANALOGU  GUAIFENESIN   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES,Be the first to review it,"This combination medication is used to temporarily treat  cough , chest congestion, fever, body aches, and stuffy nose symptoms caused by the  common cold ,  flu , or other breathing illnesses (e.g.,  sinusitis ,  bronchitis ).  Guaifenesin  is an expectorant that helps to thin and loosen mucus in the  lungs , making it easier to  cough  up the mucus.  Dextromethorphan  is a  cough suppressant  that affects a certain part of the  brain  (cough center), reducing the urge to cough.  Decongestants  help to relieve stuffy nose symptoms. This product also contains acetaminophen (APAP), a non- aspirin  pain reliever and fever reducer.",Sinus PE Pressure-Pain-Cold oral, label,"High Blood Pressure, Severe Uncontrolled High Blood Pressure, Heart Attack, Disease of the Arteries of the Heart, Partial Heart Block, Rapid Ventricular Heartbeat, Slow Heartbeat, Chronic Heart Failure, Severe Hardening of the Arteries, Blood Clot in an Artery, Acute Liver Failure, Active Inflammation of the Liver, Liver Problems, Acute Inflammation of the Pancreas, Severe Renal Impairment, Enlarged Prostate, Shock, Decreased Oxygen In The Tissues Or Blood, Overdose of the Drug Acetaminophen, Acute Inflammation of the Liver due to Hepatitis C Virus, systemic mastocytosis, overactive thyroid gland, Poor Nutrition, Acidosis",See also Warning section.,Runny Nose
 otc,"If your doctor has directed you to use this medication, your doctor or pharmacist may already be aware of any possible drug interactions and may be monitoring you for them. Do not start, stop, or change the dosage of any medicine before checking with your doctor or pharmacist first.",ACETAMINOPHEN   DEXTROMETHORPHAN ANALOGU  GUAIFENESIN   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES,Be the first to review it,"This combination medication is used to temporarily treat  cough , chest congestion, fever, body aches, and stuffy nose symptoms caused by the  common cold ,  flu , or other breathing illnesses (e.g.,  sinusitis ,  bronchitis ).  Guaifenesin  is an expectorant that helps to thin and loosen mucus in the  lungs , making it easier to  cough  up the mucus.  Dextromethorphan  is a  cough suppressant  that affects a certain part of the  brain  (cough center), reducing the urge to cough.  Decongestants  help to relieve stuffy nose symptoms. This product also contains acetaminophen (APAP), a non- aspirin  pain reliever and fever reducer.",Pressure-Pain PE Plus Cold oral, label,"High Blood Pressure, Severe Uncontrolled High Blood Pressure, Heart Attack, Disease of the Arteries of the Heart, Partial Heart Block, Rapid Ventricular Heartbeat, Slow Heartbeat, Chronic Heart Failure, Severe Hardening of the Arteries, Blood Clot in an Artery, Acute Liver Failure, Active Inflammation of the Liver, Liver Problems, Acute Inflammation of the Pancreas, Severe Renal Impairment, Enlarged Prostate, Shock, Decreased Oxygen In The Tissues Or Blood, Overdose of the Drug Acetaminophen, Acute Inflammation of the Liver due to Hepatitis C Virus, systemic mastocytosis, overactive thyroid gland, Poor Nutrition, Acidosis",See also Warning section.,Runny Nose
