Type,HowtoUse,Interactions,URL,Allergies,Review,Use,Drug,Indication,Precautions,AvoidUse,Sides,Condition
 rx,,,,,1  User Reviews        ,,cefoxitin intravenous, label,,,,Abscess of the Lung caused by Streptococcus Bacteria
 rx,,,,,Be the first to review it,,Mefoxin in dextrose (iso-osmotic) intravenous, label,,,,Abscess of the Lung caused by Streptococcus Bacteria
 rx,,,,,Be the first to review it,,cefoxitin in dextrose 2.2 % intravenous, label,,,,Abscess of the Lung caused by Streptococcus Bacteria
 rx,,,,,Be the first to review it,,"cefoxitin in dextrose, iso-osmotic intravenous", label,,,,Abscess of the Lung caused by Streptococcus Bacteria
 rx,,,,,1  User Reviews        ,,Hespan 6 % in NS intravenous, label,,,,Adjunct to White Blood Cell Removal Procedure
 rx,,,,,1  User Reviews        ,,hetastarch 6 % in 0.9 % sodium chloride intravenous, label,,,,Adjunct to White Blood Cell Removal Procedure
 rx,,,,,1076  User Reviews        ,,Synthroid oral, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,1037  User Reviews        ,,levothyroxine oral, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,367  User Reviews        ,,Armour Thyroid oral, offlabel,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,153  User Reviews        ,,Levoxyl oral, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,109  User Reviews        ,,Cytomel oral, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,76  User Reviews        ,,Tirosint oral, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,55  User Reviews        ,,Nature-Throid oral, offlabel,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,48  User Reviews        ,,liothyronine oral, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,46  User Reviews        ,,NP Thyroid oral, offlabel,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,20  User Reviews        ,,WP Thyroid oral, offlabel,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,14  User Reviews        ,,Unithroid oral, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,10  User Reviews        ,,Thyrogen intramuscular, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,8  User Reviews        ,,Thyrolar-1 oral, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,7  User Reviews        ,,Westhroid oral, offlabel,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,5  User Reviews        ,,Thyrolar-3 oral, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,5  User Reviews        ,,Thyrolar-2 oral, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,4  User Reviews        ,,thyroid (pork) oral, offlabel,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,4  User Reviews        ,,doxorubicin intravenous, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,1  User Reviews        ,,liotrix oral, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,1  User Reviews        ,,Thyrolar-1/2 oral, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,Be the first to review it,,Thyrolar-1/4 oral, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,Be the first to review it,,Levo-T oral, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,Be the first to review it,,thyrotropin alfa intramuscular, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,Be the first to review it,,sodium iodide-131 (I-131) oral, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,Be the first to review it,,Hicon oral, label,,,,Additional Treatment for Thyroid Cancer
 rx,,,,,4  User Reviews        ,,Soliris intravenous, label,,,,Atypical Hemolytic Uremic Syndrome
 rx,,,,,2  User Reviews        ,,eculizumab intravenous, label,,,,Atypical Hemolytic Uremic Syndrome
 rx,,,,,77  User Reviews        ,,Procrit injection, label,,,,Anemia in Non-Dialysis-Dependent Chronic Kidney Disease
 rx,,,,,67  User Reviews        ,,Venofer intravenous, label,,,,Anemia in Non-Dialysis-Dependent Chronic Kidney Disease
 rx,,,,,31  User Reviews        ,,Feraheme intravenous, label,,,,Anemia in Non-Dialysis-Dependent Chronic Kidney Disease
 rx,,,,,23  User Reviews        ,,iron sucrose intravenous, label,,,,Anemia in Non-Dialysis-Dependent Chronic Kidney Disease
 rx,,,,,19  User Reviews        ,,Epogen injection, label,,,,Anemia in Non-Dialysis-Dependent Chronic Kidney Disease
 rx,,,,,19  User Reviews        ,,Infed injection, label,,,,Anemia in Non-Dialysis-Dependent Chronic Kidney Disease
 rx,,,,,7  User Reviews        ,,Injectafer intravenous, label,,,,Anemia in Non-Dialysis-Dependent Chronic Kidney Disease
 rx,,,,,6  User Reviews        ,,Aranesp (in polysorbate) injection, label,,,,Anemia in Non-Dialysis-Dependent Chronic Kidney Disease
 rx,,,,,5  User Reviews        ,,epoetin alfa injection, label,,,,Anemia in Non-Dialysis-Dependent Chronic Kidney Disease
 rx,,,,,1  User Reviews        ,,Androxy oral, offlabel,,,,Anemia in Non-Dialysis-Dependent Chronic Kidney Disease
 rx,,,,,1  User Reviews        ,,darbepoetin alfa in polysorbate injection, label,,,,Anemia in Non-Dialysis-Dependent Chronic Kidney Disease
 rx,,,,,1  User Reviews        ,,ferumoxytol intravenous, label,,,,Anemia in Non-Dialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,"epoetin beta, methoxy polyethylene glycol injection", label,,,,Anemia in Non-Dialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,Mircera injection, label,,,,Anemia in Non-Dialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,ferric carboxymaltose intravenous, label,,,,Anemia in Non-Dialysis-Dependent Chronic Kidney Disease
 rx,,,,,7  User Reviews        ,,Zyprexa intramuscular, label,,,,Agitation associated with Bipolar Mania
 rx,,,,,4  User Reviews        ,,olanzapine intramuscular, label,,,,Agitation associated with Bipolar Mania
 rx,,,,,2  User Reviews        ,,aripiprazole intramuscular, label,,,,Agitation associated with Bipolar Mania
 rx,,,,,18  User Reviews        ,,Geodon intramuscular, label,,,,Agitation associated with Schizophrenia
 rx,,,,,7  User Reviews        ,,Zyprexa intramuscular, label,,,,Agitation associated with Schizophrenia
 rx,,,,,4  User Reviews        ,,olanzapine intramuscular, label,,,,Agitation associated with Schizophrenia
 rx,,,,,2  User Reviews        ,,aripiprazole intramuscular, label,,,,Agitation associated with Schizophrenia
 rx,,,,,1  User Reviews        ,,ziprasidone mesylate intramuscular, label,,,,Agitation associated with Schizophrenia
 rx,,,,,133  User Reviews        ,,Avastin intravenous, offlabel,,,,Age-Related Wet Macular Degeneration
 rx,,,,,43  User Reviews        ,,Lucentis intravitreal, label,,,,Age-Related Wet Macular Degeneration
 rx,,,,,14  User Reviews        ,,Eylea intravitreal, label,,,,Age-Related Wet Macular Degeneration
 rx,,,,,5  User Reviews        ,,bevacizumab intravenous, offlabel,,,,Age-Related Wet Macular Degeneration
 rx,,,,,3  User Reviews        ,,Visudyne intravenous, label,,,,Age-Related Wet Macular Degeneration
 rx,,,,,1  User Reviews        ,,Macugen intravitreal, label,,,,Age-Related Wet Macular Degeneration
 rx,,,,,1  User Reviews        ,,ranibizumab intravitreal, label,,,,Age-Related Wet Macular Degeneration
 rx,,,,,Be the first to review it,,verteporfin intravenous, label,,,,Age-Related Wet Macular Degeneration
 rx,,,,,Be the first to review it,,pegaptanib intravitreal, label,,,,Age-Related Wet Macular Degeneration
 rx,,,,,Be the first to review it,,aflibercept intravitreal, label,,,,Age-Related Wet Macular Degeneration
 rx,,,,,28  User Reviews        ,,itraconazole oral, offlabel,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 rx,,,,,19  User Reviews        ,,Sporanox oral, offlabel,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 rx,,,,,16  User Reviews        ,,Vfend oral, label,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 rx,,,,,9  User Reviews        ,,voriconazole oral, label,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 rx,,,,,6  User Reviews        ,,amphotericin B injection, label,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 rx,,,,,4  User Reviews        ,,amphotericin B lipid complex intravenous, label,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 rx,,,,,2  User Reviews        ,,Abelcet intravenous, label,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 rx,,,,,2  User Reviews        ,,Cancidas intravenous, label,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 rx,,,,,1  User Reviews        ,,caspofungin intravenous, label,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 rx,,,,,1  User Reviews        ,,voriconazole intravenous, label,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 rx,,,,,1  User Reviews        ,,Onmel oral, label,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 rx,,,,,Be the first to review it,,amphotericin B liposome intravenous, label,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 rx,,,,,Be the first to review it,,AmBisome intravenous, label,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 rx,,,,,Be the first to review it,,Sporanox Pulsepak oral, label,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 rx,,,,,Be the first to review it,,Vfend IV intravenous, label,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 rx,,,,,Be the first to review it,,isavuconazonium sulfate intravenous, label,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 rx,,,,,Be the first to review it,,isavuconazonium sulfate oral, label,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 rx,,,,,Be the first to review it,,Cresemba intravenous, label,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 rx,,,,,Be the first to review it,,Cresemba oral, label,,,,Aggressive Fungal Infection - Invasive Aspergillosis
 otc,,,,,90  User Reviews        ,,ferrous sulfate oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,42  User Reviews        ,,Ferrlecit intravenous, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,31  User Reviews        ,,Feraheme intravenous, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,20  User Reviews        ,,Feosol oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,19  User Reviews        ,,Infed injection, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,18  User Reviews        ,,Integra oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,14  User Reviews        ,,Ferrex 150 Forte oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,14  User Reviews        ,,Tandem Dual Action oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,13  User Reviews        ,,Ferrex 150 oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,12  User Reviews        ,,ferrous gluconate oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,11  User Reviews        ,,Corvite 150 oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,10  User Reviews        ,,Integra F oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,10  User Reviews        ,,NovaFerrum oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,10  User Reviews        ,,Slow Fe oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,10  User Reviews        ,,Iron (ferrous sulfate) oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,10  User Reviews        ,,Vitron-C oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,9  User Reviews        ,,Multigen Plus oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,9  User Reviews        ,,Ferrex 28 oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,8  User Reviews        ,,Poly-Iron 150 Forte oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,8  User Reviews        ,,Maxaron Forte oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,7  User Reviews        ,,FeroSul oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,7  User Reviews        ,,Proferrin ES oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,7  User Reviews        ,,Injectafer intravenous, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,6  User Reviews        ,,Icar-C Plus oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,6  User Reviews        ,,Taron Forte oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,5  User Reviews        ,,Hematinic/Folic Acid oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,5  User Reviews        ,,Corvite FE oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,5  User Reviews        ,,FeRiva oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,5  User Reviews        ,,ferrous fumarate oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,5  User Reviews        ,,Icar-C oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,5  User Reviews        ,,Fergon oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,4  User Reviews        ,,Ferocon oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,4  User Reviews        ,,Proferrin-Forte oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,4  User Reviews        ,,Ferrogels Forte oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,4  User Reviews        ,,Iron (dried) oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,3  User Reviews        ,,iron oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,3  User Reviews        ,,Hemocyte oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,3  User Reviews        ,,Hematron oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,3  User Reviews        ,,EZFE 200 oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,3  User Reviews        ,,Ferrex 150 Plus oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,2  User Reviews        ,,Hemocyte-F oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,2  User Reviews        ,,ferrous fum-vit C-vit B12-FA oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rxotc,,,,,2  User Reviews        ,,FE C Plus oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,2  User Reviews        ,,Folivane-F oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,2  User Reviews        ,,Irospan 24/6 oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,2  User Reviews        ,,Active FE oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,2  User Reviews        ,,ferrous fumarate-docusate sodium oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,2  User Reviews        ,,Fer-Iron oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,2  User Reviews        ,,Poly-Iron oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,2  User Reviews        ,,ferrous fumarate-iron polysaccharide cplx oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,2  User Reviews        ,,Pro Fe oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,2  User Reviews        ,,Iron 21/7 oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,1  User Reviews        ,,ferrous fumarate-B12-intrinsic factor-vit C-folic acid oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rxotc,,,,,1  User Reviews        ,,ferrous sulfate-C-folic acid oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,1  User Reviews        ,,iFerex 150 Forte oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,1  User Reviews        ,,Folitab oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,1  User Reviews        ,,Tricon oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,1  User Reviews        ,,Hematogen FA oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,1  User Reviews        ,,Hematogen Forte oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,1  User Reviews        ,,FerraPlus 90 oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,1  User Reviews        ,,TL Icon oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,1  User Reviews        ,,ferumoxytol intravenous, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,1  User Reviews        ,,iron amino acid chelate-vit B12-folic acid oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,1  User Reviews        ,,Trigels-F Forte oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,1  User Reviews        ,,Iron 100 Plus oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,1  User Reviews        ,,polysaccharide iron complex oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,1  User Reviews        ,,Nu-Iron oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,1  User Reviews        ,,Ferrimin 150 oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,1  User Reviews        ,,Myferon 150 oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,1  User Reviews        ,,sodium ferric gluconate complex in sucrose intravenous, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,1  User Reviews        ,,Icar oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,1  User Reviews        ,,iFerex 150 oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,1  User Reviews        ,,Slow Release Iron oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,1  User Reviews        ,,FerrouSul oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,1  User Reviews        ,,FE C oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,1  User Reviews        ,,Ferretts IPS oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,1  User Reviews        ,,"ferrous sulfate, dried oral", label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,1  User Reviews        ,,High Potency Iron oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,1  User Reviews        ,,Feosol Bifera oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,Myferon 150 Forte oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,ferrous fumarate-folic acid oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,iron polysacch complex-B12-FA oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rxotc,,,,,Be the first to review it,,iron-vit C-vit B12-folic acid oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,iron heme polypep-folic acid oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,"iron bisgly,polysac cplex-vits C-B12-folic acid-calcium oral", offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,"iron asp.gly,fum-vit C-folic acid-mv #11-calcium oral", offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,iron-FA-vitB12-vit C-docusate sod oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,"iron fumarate,polysach complex-folic acid-vit C-niacin oral", offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,Ferractiv oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,iron-folic acid-vitamin B cplx with C #12-succinic acid oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
