URL,Review,Drug,Indication,Type,Condition
http://www.webmd.com/drugs/drug-3402-promethazine-DM+oral,49  User Reviews        ,promethazine-DM oral, label, rx,
http://www.webmd.com/drugs/drug-77986-fluticasone+nasal,43  User Reviews        ,fluticasone nasal, offlabel, rxotc,
http://www.webmd.com/drugs/drug-15893-Bromfed+DM+oral,41  User Reviews        ,Bromfed DM oral, label, rx,
http://www.webmd.com/drugs/drug-4375-Benadryl+Allergy+oral,39  User Reviews        ,Benadryl Allergy oral, label, otc,
http://www.webmd.com/drugs/drug-6731-hydrocortisone+oral,39  User Reviews        ,hydrocortisone oral, label, rx,
http://www.webmd.com/drugs/drug-77987-ipratropium+bromide+nasal,39  User Reviews        ,ipratropium bromide nasal, label, rx,
http://www.webmd.com/drugs/drug-22326-Clarinex+oral,35  User Reviews        ,Clarinex oral, label, rx,
http://www.webmd.com/drugs/drug-6730-Cortef+oral,33  User Reviews        ,Cortef oral, label, rx,
http://www.webmd.com/drugs/drug-160302-QNASL+nasal,33  User Reviews        ,QNASL nasal, label, rx,
http://www.webmd.com/drugs/drug-374-Patanol+ophthalmic,32  User Reviews        ,Patanol ophthalmic, offlabel, rx,
http://www.webmd.com/drugs/drug-1640-Percogesic+oral,32  User Reviews        ,Percogesic oral, label, otc,
http://www.webmd.com/drugs/drug-149202-TussiCaps+oral,32  User Reviews        ,TussiCaps oral, label, rx,
http://www.webmd.com/drugs/drug-15992-Claritin-D+12+Hour+oral,31  User Reviews        ,Claritin-D 12 Hour oral, label, otc,
http://www.webmd.com/drugs/drug-156052-Zutripro+oral,30  User Reviews        ,Zutripro oral, label, rx,
http://www.webmd.com/drugs/drug-4156-chlorpheniramine+oral,28  User Reviews        ,chlorpheniramine oral, label, otc,
http://www.webmd.com/drugs/drug-6365-Tylenol+PM+Extra+Strength+oral,27  User Reviews        ,Tylenol PM Extra Strength oral, label, otc,
http://www.webmd.com/drugs/drug-14037-Nasalcrom+nasal,26  User Reviews        ,Nasalcrom nasal, label, otc,
http://www.webmd.com/drugs/drug-1787-Deltasone+oral,24  User Reviews        ,Deltasone oral, label, rx,
http://www.webmd.com/drugs/drug-2247-Coricidin+HBP+Cough+and+Cold+oral,23  User Reviews        ,Coricidin HBP Cough and Cold oral, label, otc,
http://www.webmd.com/drugs/drug-7397-promethazine+rectal,23  User Reviews        ,promethazine rectal, label, rx,
http://www.webmd.com/drugs/drug-161112-Zetonna+nasal,22  User Reviews        ,Zetonna nasal, label, rx,
http://www.webmd.com/drugs/drug-75179-flunisolide+nasal,21  User Reviews        ,flunisolide nasal, label, rx,
http://www.webmd.com/drugs/drug-8641-cortisone+oral,20  User Reviews        ,cortisone oral, label, rx,
http://www.webmd.com/drugs/drug-12210-Chlor-Trimeton+oral,16  User Reviews        ,Chlor-Trimeton oral, label, otc,
http://www.webmd.com/drugs/drug-14590-Prednisone+Intensol+oral,16  User Reviews        ,Prednisone Intensol oral, label, rx,
http://www.webmd.com/drugs/drug-63760-Sleep+Aid+diphenhydramine+oral,16  User Reviews        ,Sleep Aid (diphenhydramine) oral, label, otc,
http://www.webmd.com/drugs/drug-2920-Promethazine+VC-Codeine+oral,15  User Reviews        ,Promethazine VC-Codeine oral, label, rx,
http://www.webmd.com/drugs/drug-5473-fexofenadine-pseudoephedrine+oral,15  User Reviews        ,fexofenadine-pseudoephedrine oral, label, rxotc,
http://www.webmd.com/drugs/drug-150207-Wal-Act+D+Cold+and+Allergy+oral,15  User Reviews        ,Wal-Act D Cold and Allergy oral, label, otc,
http://www.webmd.com/drugs/drug-6978-Phenergan+rectal,14  User Reviews        ,Phenergan rectal, label, rx,
http://www.webmd.com/drugs/drug-144840-Orapred+ODT+oral,14  User Reviews        ,Orapred ODT oral, label, rx,
http://www.webmd.com/drugs/drug-75240-Alavert+D-12+Allergy-Sinus+oral,13  User Reviews        ,Alavert D-12 Allergy-Sinus oral, label, otc,
http://www.webmd.com/drugs/drug-76548-Loratadine-D+oral,12  User Reviews        ,Loratadine-D oral, label, otc,
http://www.webmd.com/drugs/drug-4448-Aprodine+oral,11  User Reviews        ,Aprodine oral, label, otc,
http://www.webmd.com/drugs/drug-148273-fluticasone+furoate+nasal,11  User Reviews        ,fluticasone furoate nasal, label, rx,
http://www.webmd.com/drugs/drug-148754-Wal-Som+diphenhydramine+oral,11  User Reviews        ,Wal-Som (diphenhydramine) oral, label, otc,
http://www.webmd.com/drugs/drug-155439-Allegra+Allergy+oral,11  User Reviews        ,Allegra Allergy oral, label, otc,
http://www.webmd.com/drugs/drug-160434-Norel+AD+oral,11  User Reviews        ,Norel AD oral, label, otc,
http://www.webmd.com/drugs/drug-410-Semprex-D+oral,10  User Reviews        ,Semprex-D oral, label, rx,
http://www.webmd.com/drugs/drug-77989-triamcinolone+acetonide+nasal,10  User Reviews        ,triamcinolone acetonide nasal, label, rxotc,
http://www.webmd.com/drugs/drug-91295-Wal-itin+D+oral,10  User Reviews        ,Wal-itin D oral, label, otc,
http://www.webmd.com/drugs/drug-150092-Wal-Zyr+cetirizine+oral,10  User Reviews        ,Wal-Zyr (cetirizine) oral, label, otc,
http://www.webmd.com/drugs/drug-91-Claritin+RediTabs+oral,9  User Reviews        ,Claritin RediTabs oral, label, otc,
http://www.webmd.com/drugs/drug-2211-hydrocodone-chlorpheniramine+oral,9  User Reviews        ,hydrocodone-chlorpheniramine oral, label, rx,
http://www.webmd.com/drugs/drug-4830-Beconase+AQ+nasal,9  User Reviews        ,Beconase AQ nasal, label, rx,
http://www.webmd.com/drugs/drug-54160-Wal-phed+oral,9  User Reviews        ,Wal-phed oral, label, otc,
http://www.webmd.com/drugs/drug-150305-Aller-Tec+oral,9  User Reviews        ,Aller-Tec oral, label, otc,
http://www.webmd.com/drugs/drug-8561-Nasacort+nasal,8  User Reviews        ,Nasacort nasal, label, otc,
http://www.webmd.com/drugs/drug-9447-Promethegan+rectal,8  User Reviews        ,Promethegan rectal, label, rx,
http://www.webmd.com/drugs/drug-10410-brompheniramine-pseudoephedrine-DM+oral,8  User Reviews        ,brompheniramine-pseudoephedrine-DM oral, label, rxotc,
http://www.webmd.com/drugs/drug-11540-Unisom+Sleepgels+oral,8  User Reviews        ,Unisom Sleepgels oral, label, otc,
http://www.webmd.com/drugs/drug-32623-Coricidin+HBP+oral,8  User Reviews        ,Coricidin HBP oral, label, otc,
http://www.webmd.com/drugs/drug-91657-Acetaminophen+PM+oral,8  User Reviews        ,Acetaminophen PM oral, label, otc,
http://www.webmd.com/drugs/drug-94625-Percogesic+Extra+Strength+oral,8  User Reviews        ,Percogesic Extra Strength oral, label, otc,
http://www.webmd.com/drugs/drug-150469-Unisom+SleepMelts+oral,8  User Reviews        ,Unisom SleepMelts oral, label, otc,
http://www.webmd.com/drugs/drug-64728-Alavert+oral,7  User Reviews        ,Alavert oral, label, otc,
http://www.webmd.com/drugs/drug-77983-budesonide+nasal,7  User Reviews        ,budesonide nasal, label, rxotc,
http://www.webmd.com/drugs/drug-151444-Veripred+20+oral,7  User Reviews        ,Veripred 20 oral, label, rx,
http://www.webmd.com/drugs/drug-850-olopatadine+ophthalmic,6  User Reviews        ,olopatadine ophthalmic, offlabel, rx,
http://www.webmd.com/drugs/drug-167795-Pazeo+ophthalmic,6  User Reviews        ,Pazeo ophthalmic, offlabel, rx,
http://www.webmd.com/drugs/drug-508-Ed+A-Hist+oral,6  User Reviews        ,Ed A-Hist oral, label, otc,
http://www.webmd.com/drugs/drug-2625-loratadine-pseudoephedrine+oral,6  User Reviews        ,loratadine-pseudoephedrine oral, label, otc,
http://www.webmd.com/drugs/drug-2860-promethazine-phenylephrine-codeine+oral,6  User Reviews        ,promethazine-phenylephrine-codeine oral, label, rx,
http://www.webmd.com/drugs/drug-15688-Promethazine+VC+oral,6  User Reviews        ,Promethazine VC oral, label, rx,
http://www.webmd.com/drugs/drug-92502-Lodrane+D+oral,6  User Reviews        ,Lodrane D oral, label, otc,
http://www.webmd.com/drugs/drug-147746-Children%27s+Claritin+oral,6  User Reviews        ,Children's Claritin oral, label, otc,
http://www.webmd.com/drugs/drug-150235-Ala-Hist+DM+oral,6  User Reviews        ,Ala-Hist DM oral, label, otc,
http://www.webmd.com/drugs/drug-153821-Ala-Hist+IR+oral,6  User Reviews        ,Ala-Hist IR oral, label, otc,
http://www.webmd.com/drugs/drug-2324-diphenhydramine-acetaminophen+oral,5  User Reviews        ,diphenhydramine-acetaminophen oral, label, otc,
http://www.webmd.com/drugs/drug-7297-Q-Dryl+oral,5  User Reviews        ,Q-Dryl oral, label, otc,
http://www.webmd.com/drugs/drug-22327-desloratadine+oral,5  User Reviews        ,desloratadine oral, label, rx,
http://www.webmd.com/drugs/drug-75177-Advil+Allergy+Sinus+oral,5  User Reviews        ,Advil Allergy Sinus oral, label, otc,
http://www.webmd.com/drugs/drug-144117-Dimetapp+DM+Cold-Cough+PE+oral,5  User Reviews        ,Dimetapp DM Cold-Cough (PE) oral, label, otc,
http://www.webmd.com/drugs/drug-150348-Aller-Tec+D+oral,5  User Reviews        ,Aller-Tec D oral, label, otc,
http://www.webmd.com/drugs/drug-154850-Rynex+DM+oral,5  User Reviews        ,Rynex DM oral, label, otc,
http://www.webmd.com/drugs/drug-158901-Stahist+AD+oral,5  User Reviews        ,Stahist AD oral, label, otc,
http://www.webmd.com/drugs/drug-10006-Diphenhist+oral,4  User Reviews        ,Diphenhist oral, label, otc,
http://www.webmd.com/drugs/drug-10538-Nytol+oral,4  User Reviews        ,Nytol oral, label, otc,
http://www.webmd.com/drugs/drug-21829-Pain+Relief+PM+oral,4  User Reviews        ,Pain Relief PM oral, label, otc,
http://www.webmd.com/drugs/drug-76338-Phenadoz+rectal,4  User Reviews        ,Phenadoz rectal, label, rx,
http://www.webmd.com/drugs/drug-91812-Wal-dryl+Allergy+oral,4  User Reviews        ,Wal-dryl Allergy oral, label, otc,
http://www.webmd.com/drugs/drug-149919-All+Day+Allergy+cetirizine+oral,4  User Reviews        ,All Day Allergy (cetirizine) oral, label, otc,
http://www.webmd.com/drugs/drug-150355-Wal-phed+PE+Severe+Cold+oral,4  User Reviews        ,Wal-phed PE Severe Cold oral, label, otc,
http://www.webmd.com/drugs/drug-150534-Wal-Zyr+D+oral,4  User Reviews        ,Wal-Zyr D oral, label, otc,
http://www.webmd.com/drugs/drug-150616-Vanacof+oral,4  User Reviews        ,Vanacof oral, label, otc,
http://www.webmd.com/drugs/drug-153067-Trexbrom+oral,4  User Reviews        ,Trexbrom oral, label, otc,
http://www.webmd.com/drugs/drug-155432-Children%27s+Allegra+Allergy+oral,4  User Reviews        ,Children's Allegra Allergy oral, label, otc,
http://www.webmd.com/drugs/drug-155692-Aller-Fex+oral,4  User Reviews        ,Aller-Fex oral, label, otc,
http://www.webmd.com/drugs/drug-162206-Rayos+oral,4  User Reviews        ,Rayos oral, label, rx,
http://www.webmd.com/drugs/drug-168923-Tuzistra+XR+oral,4  User Reviews        ,Tuzistra XR oral, label, rx,
http://www.webmd.com/drugs/drug-3158-triprolidine-pseudoephedrine+oral,3  User Reviews        ,triprolidine-pseudoephedrine oral, label, otc,
http://www.webmd.com/drugs/drug-5317-carbinoxamine+oral,3  User Reviews        ,carbinoxamine oral, label, rx,
http://www.webmd.com/drugs/drug-13557-prednisolone+sodium+phosphate+oral,3  User Reviews        ,prednisolone sodium phosphate oral, label, rx,
http://www.webmd.com/drugs/drug-13558-Pediapred+oral,3  User Reviews        ,Pediapred oral, label, rx,
http://www.webmd.com/drugs/drug-15814-Rescon-DM+oral,3  User Reviews        ,Rescon-DM oral, label, otc,
http://www.webmd.com/drugs/drug-20873-chlorpheniramine-DM-acetaminophen+oral,3  User Reviews        ,chlorpheniramine-DM-acetaminophen oral, label, otc,
http://www.webmd.com/drugs/drug-32868-NightTime+Sleep+Aid+diphenhydramine+oral,3  User Reviews        ,NightTime Sleep Aid (diphenhydramine) oral, label, otc,
http://www.webmd.com/drugs/drug-75320-Lorata-D+oral,3  User Reviews        ,Lorata-D oral, label, otc,
http://www.webmd.com/drugs/drug-144196-Vicks+NyQuil+Cold-Flu+Liquicap+oral,3  User Reviews        ,Vicks NyQuil Cold/Flu Liquicap oral, label, otc,
http://www.webmd.com/drugs/drug-148078-Contac+Cold-Flu+Day+and+Night+oral,3  User Reviews        ,Contac Cold-Flu Day and Night oral, label, otc,
http://www.webmd.com/drugs/drug-149688-Wal-Phed+PE+Sinus+and+Allergy+oral,3  User Reviews        ,Wal-Phed PE Sinus and Allergy oral, label, otc,
http://www.webmd.com/drugs/drug-150254-All+Day+Allergy-D+oral,3  User Reviews        ,All Day Allergy-D oral, label, otc,
http://www.webmd.com/drugs/drug-150393-Millipred+oral,3  User Reviews        ,Millipred oral, label, rx,
http://www.webmd.com/drugs/drug-153832-Ala-Hist+PE+oral,3  User Reviews        ,Ala-Hist PE oral, label, otc,
http://www.webmd.com/drugs/drug-155391-Arbinoxa+oral,3  User Reviews        ,Arbinoxa oral, label, rx,
http://www.webmd.com/drugs/drug-155394-NoHist-DM+oral,3  User Reviews        ,NoHist-DM oral, label, otc,
http://www.webmd.com/drugs/drug-155870-Bayer+PM+oral,3  User Reviews        ,Bayer PM oral, label, otc,
http://www.webmd.com/drugs/drug-157327-Wal-Fex+D+24+Hour+oral,3  User Reviews        ,Wal-Fex D 24 Hour oral, label, otc,
http://www.webmd.com/drugs/drug-167111-Chlo+Hist+oral,3  User Reviews        ,Chlo Hist oral, label, otc,
http://www.webmd.com/drugs/drug-1886-acrivastine-pseudoephedrine+oral,2  User Reviews        ,acrivastine-pseudoephedrine oral, label, rx,
http://www.webmd.com/drugs/drug-4808-mometasone+nasal,2  User Reviews        ,mometasone nasal, label, rx,
http://www.webmd.com/drugs/drug-5108-Sleep+Tablet+diphenhydramine+oral,2  User Reviews        ,Sleep Tablet (diphenhydramine) oral, label, otc,
http://www.webmd.com/drugs/drug-5113-Antihistamine+oral,2  User Reviews        ,Antihistamine oral, label, otc,
http://www.webmd.com/drugs/drug-7141-clemastine+oral,2  User Reviews        ,clemastine oral, label, rxotc,
http://www.webmd.com/drugs/drug-10130-dexbrompheniramine+maleate+oral,2  User Reviews        ,dexbrompheniramine maleate oral, label, otc,
http://www.webmd.com/drugs/drug-15456-Mapap+PM+oral,2  User Reviews        ,Mapap PM oral, label, otc,
http://www.webmd.com/drugs/drug-17659-Medicidin-D+oral,2  User Reviews        ,Medicidin-D oral, label, otc,
http://www.webmd.com/drugs/drug-20574-Brotapp+DM+oral,2  User Reviews        ,Brotapp DM oral, label, otc,
http://www.webmd.com/drugs/drug-21775-cetirizine-pseudoephedrine+oral,2  User Reviews        ,cetirizine-pseudoephedrine oral, label, otc,
http://www.webmd.com/drugs/drug-57171-Acetaminophen+PM+Extra+Strength+oral,2  User Reviews        ,Acetaminophen PM Extra Strength oral, label, otc,
http://www.webmd.com/drugs/drug-57173-Midol+PM+oral,2  User Reviews        ,Midol PM oral, label, otc,
http://www.webmd.com/drugs/drug-77240-Ed+A-Hist+DM+oral,2  User Reviews        ,Ed A-Hist DM oral, label, otc,
http://www.webmd.com/drugs/drug-77553-doxylamine-dextromethorphan-acetaminophen+oral,2  User Reviews        ,doxylamine-dextromethorphan-acetaminophen oral, label, otc,
http://www.webmd.com/drugs/drug-89032-Sleep+Aid+doxylamine+oral,2  User Reviews        ,Sleep Aid (doxylamine) oral, label, otc,
http://www.webmd.com/drugs/drug-91551-POLY+HIST+PD+oral,2  User Reviews        ,POLY HIST PD oral, label, otc,
http://www.webmd.com/drugs/drug-92223-Wal-Finate-D+oral,2  User Reviews        ,Wal-Finate-D oral, label, otc,
http://www.webmd.com/drugs/drug-93714-Loradamed+oral,2  User Reviews        ,Loradamed oral, label, otc,
http://www.webmd.com/drugs/drug-94312-Goody%27s+PM+oral,2  User Reviews        ,Goody's PM oral, label, otc,
http://www.webmd.com/drugs/drug-95225-AllerClear+D-24hr+oral,2  User Reviews        ,AllerClear D-24hr oral, label, otc,
http://www.webmd.com/drugs/drug-95227-Allerclear+oral,2  User Reviews        ,Allerclear oral, label, otc,
http://www.webmd.com/drugs/drug-144878-Allergy+Multi-Symptom+oral,2  User Reviews        ,Allergy Multi-Symptom oral, label, otc,
http://www.webmd.com/drugs/drug-144892-Nighttime+Cold-Flu+oral,2  User Reviews        ,Nighttime Cold-Flu oral, label, otc,
http://www.webmd.com/drugs/drug-146032-Sleep+Aid+Max+Strength+diphenhydramine+oral,2  User Reviews        ,Sleep Aid Max Strength (diphenhydramine) oral, label, otc,
http://www.webmd.com/drugs/drug-146724-diphenhydramine-phenylephrine+oral,2  User Reviews        ,diphenhydramine-phenylephrine oral, label, otc,
http://www.webmd.com/drugs/drug-149578-Wal-Finate+oral,2  User Reviews        ,Wal-Finate oral, label, otc,
http://www.webmd.com/drugs/drug-150141-Poly-Tussin+AC+oral,2  User Reviews        ,Poly-Tussin AC oral, label, otc,
http://www.webmd.com/drugs/drug-150253-Allergy+Relief+cetirizine+oral,2  User Reviews        ,Allergy Relief (cetirizine) oral, label, otc,
http://www.webmd.com/drugs/drug-150386-olopatadine+nasal,2  User Reviews        ,olopatadine nasal, label, rx,
http://www.webmd.com/drugs/drug-152701-Wal-Flu+Night+Severe+Cold+oral,2  User Reviews        ,Wal-Flu Night Severe Cold oral, label, otc,
http://www.webmd.com/drugs/drug-152820-Allergy+chlorpheniramine+oral,2  User Reviews        ,Allergy (chlorpheniramine) oral, label, otc,
http://www.webmd.com/drugs/drug-152991-Pain+and+Sleep+oral,2  User Reviews        ,Pain and Sleep oral, label, otc,
http://www.webmd.com/drugs/drug-154592-All+Day+Allergy+Relief+cetirizine+oral,2  User Reviews        ,All Day Allergy Relief (cetirizine) oral, label, otc,
http://www.webmd.com/drugs/drug-155219-Aller-ease+oral,2  User Reviews        ,Aller-ease oral, label, otc,
http://www.webmd.com/drugs/drug-155354-ED+Chlorped+Jr+oral,2  User Reviews        ,ED Chlorped Jr oral, label, otc,
http://www.webmd.com/drugs/drug-156084-Wal-Fex+Allergy+oral,2  User Reviews        ,Wal-Fex Allergy oral, label, otc,
http://www.webmd.com/drugs/drug-156648-Vicks+Nyquil+Nighttime+Relief+oral,2  User Reviews        ,Vicks Nyquil Nighttime Relief oral, label, otc,
http://www.webmd.com/drugs/drug-158144-M-End+DMX+oral,2  User Reviews        ,M-End DMX oral, label, otc,
http://www.webmd.com/drugs/drug-162825-Alka-Seltzer+Plus+Allergy+oral,2  User Reviews        ,Alka-Seltzer Plus Allergy oral, label, otc,
http://www.webmd.com/drugs/drug-164220-Phenagil+oral,2  User Reviews        ,Phenagil oral, label, otc,
http://www.webmd.com/drugs/drug-4-Phenylhistine+DH+oral,1  User Reviews        ,Phenylhistine DH oral, label, otc,
http://www.webmd.com/drugs/drug-60-chlorpheniramine-phenylephrine+oral,1  User Reviews        ,chlorpheniramine-phenylephrine oral, label, rxotc,
http://www.webmd.com/drugs/drug-781-Pain+Reliever+PM+oral,1  User Reviews        ,Pain Reliever PM oral, label, otc,
http://www.webmd.com/drugs/drug-972-Sinus+Maximum+Strength+oral,1  User Reviews        ,Sinus Maximum Strength oral, label, otc,
http://www.webmd.com/drugs/drug-2934-chlorpheniram-pseudoephed-codeine+oral,1  User Reviews        ,chlorpheniram-pseudoephed-codeine oral, label, otc,
http://www.webmd.com/drugs/drug-3863-Sleep+II+oral,1  User Reviews        ,Sleep II oral, label, otc,
http://www.webmd.com/drugs/drug-4141-Diphedryl+Allergy+oral,1  User Reviews        ,Diphedryl Allergy oral, label, otc,
http://www.webmd.com/drugs/drug-4679-diphenhydramine+injection,1  User Reviews        ,diphenhydramine injection, label, rx,
http://www.webmd.com/drugs/drug-5094-Allergy+Medication+oral,1  User Reviews        ,Allergy Medication oral, label, otc,
http://www.webmd.com/drugs/drug-5500-Rescon+oral,1  User Reviews        ,Rescon oral, label, otc,
http://www.webmd.com/drugs/drug-5669-Scot-Tussin+DM+oral,1  User Reviews        ,Scot-Tussin DM oral, label, otc,
http://www.webmd.com/drugs/drug-6008-Banophen+oral,1  User Reviews        ,Banophen oral, label, otc,
http://www.webmd.com/drugs/drug-8978-Aller-Chlor+oral,1  User Reviews        ,Aller-Chlor oral, label, otc,
http://www.webmd.com/drugs/drug-10497-Compoz+oral,1  User Reviews        ,Compoz oral, label, otc,
http://www.webmd.com/drugs/drug-11345-Sleep+oral,1  User Reviews        ,Sleep oral, label, otc,
http://www.webmd.com/drugs/drug-11616-Complete+Allergy+Medicine+oral,1  User Reviews        ,Complete Allergy Medicine oral, label, otc,
http://www.webmd.com/drugs/drug-16589-Allergy+Medicine+oral,1  User Reviews        ,Allergy Medicine oral, label, otc,
http://www.webmd.com/drugs/drug-16924-Aler-Cap+oral,1  User Reviews        ,Aler-Cap oral, label, otc,
http://www.webmd.com/drugs/drug-16946-Sleep-Tabs+oral,1  User Reviews        ,Sleep-Tabs oral, label, otc,
http://www.webmd.com/drugs/drug-17845-Cold+Relief+oral,1  User Reviews        ,Cold Relief oral, label, otc,
http://www.webmd.com/drugs/drug-20579-diphenhydramine-PSE-acetaminophen+oral,1  User Reviews        ,diphenhydramine-PSE-acetaminophen oral, label, otc,
http://www.webmd.com/drugs/drug-21043-Restfully+Sleep+oral,1  User Reviews        ,Restfully Sleep oral, label, otc,
http://www.webmd.com/drugs/drug-21990-Total+Allergy+Medicine+oral,1  User Reviews        ,Total Allergy Medicine oral, label, otc,
http://www.webmd.com/drugs/drug-22046-Cold+and+Allergy+oral,1  User Reviews        ,Cold and Allergy oral, label, otc,
http://www.webmd.com/drugs/drug-22108-Cold+and+Cough+DM+oral,1  User Reviews        ,Cold and Cough DM oral, label, otc,
http://www.webmd.com/drugs/drug-22671-doxylamine-dextromethorphan+oral,1  User Reviews        ,doxylamine-dextromethorphan oral, label, otc,
http://www.webmd.com/drugs/drug-54014-Banophen+Allergy+oral,1  User Reviews        ,Banophen Allergy oral, label, otc,
http://www.webmd.com/drugs/drug-55301-Pedia+Relief+Cough-Cold+oral,1  User Reviews        ,Pedia Relief Cough-Cold oral, label, otc,
http://www.webmd.com/drugs/drug-57147-Ultra+Sleep+doxylamine+succinate+oral,1  User Reviews        ,Ultra Sleep (doxylamine succinate) oral, label, otc,
http://www.webmd.com/drugs/drug-57151-Sleepgels+oral,1  User Reviews        ,Sleepgels oral, label, otc,
http://www.webmd.com/drugs/drug-57153-Nightime+Sleep+oral,1  User Reviews        ,Nightime Sleep oral, label, otc,
http://www.webmd.com/drugs/drug-64057-triprolidine+HCl+oral,1  User Reviews        ,triprolidine HCl oral, label, otc,
http://www.webmd.com/drugs/drug-75017-Wal-itin+oral,1  User Reviews        ,Wal-itin oral, label, otc,
http://www.webmd.com/drugs/drug-75917-Allergy+Relief+D-24+oral,1  User Reviews        ,Allergy Relief D-24 oral, label, otc,
http://www.webmd.com/drugs/drug-76861-LoHist+-+D+oral,1  User Reviews        ,LoHist - D oral, label, otc,
http://www.webmd.com/drugs/drug-77982-beclomethasone+dipropionate+nasal,1  User Reviews        ,beclomethasone dipropionate nasal, label, rx,
http://www.webmd.com/drugs/drug-87136-Dristan+Cold+oral,1  User Reviews        ,Dristan Cold oral, label, otc,
http://www.webmd.com/drugs/drug-94888-Tussi+Pres-B+oral,1  User Reviews        ,Tussi Pres-B oral, label, otc,
